time,avg_washers,avg_dryers
00:00:00,2.875,2.375
00:05:00,3,2.375
00:10:00,3,2.5
00:15:00,3,2.5
00:20:00,3,2.625
00:25:00,3.6666666666666665,2.6666666666666665
00:30:00,3.25,2.75
00:35:00,3.25,2.75
00:40:00,3.25,2.875
00:45:00,3.25,2.875
00:50:00,3.25,2.875
00:55:00,3.125,2.75
01:00:00,3.25,2.75
01:05:00,3.25,2.75
01:10:00,3.25,2.5
01:15:00,3.25,2.5
01:20:00,3,2.5
01:25:00,3.25,2.5
01:30:00,3.375,2.5
01:35:00,3.375,2.75
01:40:00,3.25,2.75
01:45:00,3,2.75
01:50:00,3,2.875
01:55:00,3.25,2.875
02:00:00,3.25,2.875
02:05:00,3.25,2.75
02:10:00,3.375,2.75
02:15:00,3.375,2.75
02:20:00,3.125,2.625
02:25:00,3.125,2.625
02:30:00,3.125,2.625
02:35:00,3.125,2.625
02:40:00,3.125,2.625
02:45:00,3.125,2.5
02:50:00,3.25,2.5
02:55:00,3.75,2.5
03:00:00,3.75,2.625
03:05:00,3.75,2.625
03:10:00,3.75,2.75
03:15:00,3.75,2.75
03:20:00,3.75,2.75
03:25:00,3.75,2.75
03:30:00,3.75,2.75
03:35:00,3.75,2.75
03:40:00,3.75,2.75
03:45:00,3.75,2.75
03:50:00,3.75,2.75
03:55:00,3.75,2.75
04:00:00,3.75,2.75
04:05:00,3.75,3
04:10:00,3.75,3
04:15:00,3.75,3
04:20:00,3.75,3
04:25:00,3.75,3
04:30:00,3.75,3
04:35:00,3.75,3
04:40:00,4,3
04:45:00,4,3
04:50:00,4,3
04:55:00,4,3
05:00:00,4,3
05:05:00,4,3
05:10:00,4,3
05:15:00,4,2.875
05:20:00,4,2.875
05:25:00,4,2.875
05:30:00,4,2.875
05:35:00,4,2.875
05:40:00,4,2.875
05:45:00,4,2.875
05:50:00,4,2.875
05:55:00,4,3
06:00:00,4,3
06:05:00,4,3
06:10:00,3.75,3
06:15:00,3.375,3
06:20:00,3.125,3
06:25:00,2.75,3
06:30:00,2.625,3
06:35:00,2.625,3
06:40:00,2.625,3
06:45:00,2.625,3
06:50:00,2.875,3
06:55:00,3,3
07:00:00,3.375,3
07:05:00,3.5,3
07:10:00,3.5,3
07:15:00,3,3
07:20:00,3.25,3
07:25:00,3.125,2.875
07:30:00,3,2.75
07:35:00,3,2.625
07:40:00,3,2.625
07:45:00,3,2.625
07:50:00,3,2.625
07:55:00,2.875,2.625
08:00:00,3.125,2.625
08:05:00,3.375,2.75
08:10:00,3.25,2.875
08:15:00,2.375,2.875
08:20:00,2,2.875
08:25:00,2,2.875
08:30:00,2.125,2.875
08:35:00,2.125,2.875
08:40:00,2.25,2.875
08:45:00,2.125,2.875
08:50:00,1.875,2.875
08:55:00,2.125,2.75
09:00:00,2.25,2.75
09:05:00,2.25,2.625
09:10:00,2,2.625
09:15:00,1.125,2.375
09:20:00,1.125,2.375
09:25:00,1.25,2.375
09:30:00,1,2.375
09:35:00,0.875,2.25
09:40:00,0.875,2.25
09:45:00,0.625,2.25
09:50:00,0.875,2
09:55:00,1.125,2.125
10:00:00,1.375,2.125
10:05:00,1.375,2
10:10:00,1.375,1.625
10:15:00,0.625,1.75
10:20:00,0.875,1.75
10:25:00,0.875,1.75
10:30:00,0.75,1.75
10:35:00,0.875,1.875
10:40:00,0.875,1.875
10:45:00,0.75,1.875
10:50:00,0.5,2.375
10:55:00,0.5,2.375
11:00:00,1,2.375
11:05:00,1.25,2.375
11:10:00,0.75,2.625
11:15:00,0.125,2.5
11:20:00,0.25,2.375
11:25:00,0.375,2.375
11:30:00,0.625,2.5
11:35:00,0.75,2.5
11:40:00,0.75,2.625
11:45:00,0.75,2.75
11:50:00,0.75,2.625
11:55:00,1.25,2.5
12:00:00,1.875,2.5
12:05:00,1.75,2.375
12:10:00,1.25,2.125
12:15:00,0.125,2
12:20:00,0.25,2.125
12:25:00,0.25,1.875
12:30:00,0.25,1.875
12:35:00,0.25,2
12:40:00,0.375,2
12:45:00,0.5,2.125
12:50:00,0.875,2.125
12:55:00,1,2.25
13:00:00,1.625,2.25
13:05:00,1.75,2.25
13:10:00,1.375,1.875
13:15:00,0.375,1.5
13:20:00,0.5,1.75
13:25:00,0.375,1.625
13:30:00,0.375,1.75
13:35:00,0.375,1.75
13:40:00,0.75,1.625
13:45:00,0.625,1.625
13:50:00,0.625,1.75
13:55:00,0.375,2
14:00:00,0.5,2.125
14:05:00,0.75,2.375
14:10:00,0.5,2.25
14:15:00,0,2
14:20:00,0,2
14:25:00,0.125,1.875
14:30:00,0.375,1.875
14:35:00,0.625,1.875
14:40:00,0.625,2
14:45:00,0.375,2.125
14:50:00,0.125,2.125
14:55:00,0,2.125
15:00:00,0.375,1.875
15:05:00,0.5,2
15:10:00,0.5,1.75
15:15:00,0,1.5
15:20:00,0.25,1.5
15:25:00,0.5,1.5
15:30:00,0.375,1.5
15:35:00,0.25,1.625
15:40:00,0.375,1.75
15:45:00,0.5,1.875
15:50:00,0.625,2
15:55:00,0.75,1.875
16:00:00,1.125,1.875
16:05:00,1.125,1.75
16:10:00,1,1.875
16:15:00,0.125,2
16:20:00,0.375,2
16:25:00,0.375,2
16:30:00,0.625,2.125
16:35:00,0.5,2.375
16:40:00,0.5,2.5
16:45:00,0.625,2.75
16:50:00,0.625,2.75
16:55:00,0.75,2.625
17:00:00,1.125,2.75
17:05:00,0.75,2.5
17:10:00,0.375,2.5
17:15:00,0,2.25
17:20:00,0.25,2.25
17:25:00,0.125,2.25
17:30:00,0.125,2.25
17:35:00,0,2.25
17:40:00,0.375,2.25
17:45:00,0.5,2.625
17:50:00,0.375,2.5
17:55:00,0.42857142857142855,2.2857142857142856
18:00:00,1.25,2.375
18:05:00,1,2.375
18:10:00,1,2
18:15:00,0,2
18:20:00,0.125,2
