time,avg_washers,avg_dryers
16:20:00,0.2,1.9
16:25:00,0.4,1.8
16:30:00,0.4,1.9
16:35:00,0.4,1.9
16:40:00,0.3,1.9
16:45:00,0.1,2.1
16:50:00,0.3,2
16:55:00,0.5,1.9
17:00:00,1.3,1.8
17:05:00,1.3,1.9
17:10:00,1,1.7
17:15:00,0.2,1.6
17:20:00,0.4,1.7
17:25:00,0.4,1.5
17:30:00,0.4,1.6
17:35:00,0.4,1.7
17:40:00,0.3,1.7
17:45:00,0.5,1.6
17:50:00,0.6,1.7
17:55:00,0.8,1.8
18:00:00,1.5,2
18:05:00,1.4,1.7
18:10:00,1,1.7
18:15:00,0,1.6
18:20:00,0.1,1.6
18:25:00,0.1,1.9
18:30:00,0,1.9
18:35:00,0.1,2.1
18:40:00,0.1,2.1
18:45:00,0.2,2.3
18:50:00,0.3,2.1
18:55:00,0.3,2.1
19:00:00,1.6,2.2
19:05:00,1.3,2
19:10:00,0.5,1.8
19:15:00,0,1.7
19:20:00,0.2,1.8
19:25:00,0.2,1.9
19:30:00,0.2,1.8
19:35:00,0.2,1.7
19:40:00,0.4,1.7
19:45:00,0.7,1.9
19:50:00,0.7,2.1
19:55:00,0.6,2.1
20:00:00,0.9,1.8
20:05:00,0.8,1.6
20:10:00,0.5,1.6
20:15:00,0.1,1.7
20:20:00,0.3,1.6
20:25:00,0.3,1.5
20:30:00,0.4,1.5
20:35:00,0.3,1.4
20:40:00,0.8,1.6
20:45:00,0.9,1.9
20:50:00,0.7,2
20:55:00,0.4,2
21:00:00,1.1,2.2
21:05:00,0.9,2.1
21:10:00,1.1,1.9
21:15:00,0.2,1.6
21:20:00,0.1,1.5
21:25:00,0.3,1.4
21:30:00,0.4,1.4
21:35:00,0.3,1.4
21:40:00,0.5,1.5
21:45:00,0.6,1.6
21:50:00,0.5,1.8
21:55:00,0.4,2
22:00:00,1.1,1.9
22:05:00,0.9,1.8
22:10:00,0.9,1.8
22:15:00,0.2,1.8
22:20:00,0.9,1.9
22:25:00,0.8,1.9
22:30:00,0.3,1.9
22:35:00,0.4,1.9
22:40:00,0.6,2
22:45:00,0.3,2
22:50:00,0.3,2
22:55:00,0.3,2
23:00:00,0.7,2
23:05:00,1.1,2
23:10:00,1,1.8
23:15:00,0.9,1.9
23:20:00,1.7,1.9
23:25:00,2,1.9
23:30:00,2,2
23:35:00,2.3,2
23:40:00,2.4,1.7
23:45:00,2.3,1.9
23:50:00,2.2,2.1
23:55:00,2.1,2.4
